Individual 	Attrition	Age	BusinessTravel	DailyRate	Department	DistanceFromHome	Education	EducationField	EmployeeCount	EmployeeNumber	EnvironmentSatisfaction	Gender	HourlyRate	JobInvolvement	JobLevel	JobRole	JobSatisfaction	MaritalStatus	MonthlyIncome	MonthlyRate	NumCompaniesWorked	OverTime	PercentSalaryHike	PerformanceRating	RelationshipSatisfaction	StandardHours	StockOptionLevel	TotalWorkingYears	TrainingTimesLastYear	WorkLifeBalance	YearsAtCompany	YearsInCurrentRole	YearsSinceLastPromotion	YearsWithCurrManager
Ind13	No	31	1	670	2	26	1	1	1	16	1	1	31	3	1	2	3	3	2911	15170	1	2	17	3	4	80	1	5	1	2	5	2	4	3
Ind14	No	34	1	1346	2	19	2	2	1	18	2	1	93	3	1	3	4	3	2661	8758	0	2	11	3	3	80	1	3	2	3	2	2	1	2
Ind15	Yes	28	1	103	2	24	3	1	1	19	3	1	50	2	1	3	3	1	2028	12947	5	1	14	3	2	80	0	6	4	3	4	2	0	3
Ind16	No	29	1	1389	2	21	4	1	1	20	2	2	51	4	3	4	1	3	9980	10195	1	2	11	3	3	80	1	10	1	3	10	9	8	8
Ind17	No	32	1	334	2	5	2	1	1	21	1	1	80	4	1	2	2	3	3298	15053	0	1	12	3	4	80	2	7	5	2	6	2	0	5
Ind18	No	22	3	1123	2	16	2	2	1	22	4	1	96	4	1	3	4	3	2935	7324	1	1	13	3	2	80	2	1	2	2	1	0	0	0
Ind19	No	53	1	1219	1	2	4	1	1	23	1	2	78	2	4	6	4	2	15427	22021	2	2	16	3	3	80	0	31	3	3	25	8	3	7
Ind20	No	38	1	371	2	2	3	1	1	24	4	1	45	3	1	2	4	1	3944	4306	5	1	11	3	3	80	0	6	3	3	3	2	1	2
Ind21	No	24	3	673	2	11	2	6	1	26	1	2	96	4	2	4	3	3	4011	8232	0	2	18	3	4	80	1	5	5	2	4	2	1	3
Ind22	Yes	36	1	1218	1	9	4	1	1	27	3	1	82	2	1	7	1	1	3407	6986	7	2	23	4	2	80	0	10	4	3	5	3	0	3
Ind23	No	34	1	419	2	7	4	1	1	28	1	2	53	3	3	8	2	1	11994	21293	0	2	11	3	3	80	0	13	4	3	12	6	2	11
Ind24	No	21	1	391	2	15	2	1	1	30	3	1	96	3	1	2	4	1	1232	19281	1	2	14	3	4	80	0	0	6	3	0	0	0	0
Ind25	Yes	34	1	699	2	6	1	2	1	31	2	1	83	3	1	2	1	1	2960	17102	2	2	11	3	3	80	0	8	2	3	4	2	1	3
Ind26	No	53	1	1282	2	5	3	6	1	32	3	2	58	3	5	6	3	3	19094	10735	4	2	11	3	4	80	1	26	3	2	14	13	4	8
Ind27	Yes	32	2	1125	2	16	1	1	1	33	2	2	72	1	1	2	1	1	3919	4681	1	1	22	4	2	80	0	10	5	3	10	2	6	7
Ind28	No	42	1	691	1	8	4	3	1	35	3	1	48	3	2	1	2	2	6825	21173	0	2	11	3	4	80	1	10	2	3	9	7	4	2
Ind29	No	44	1	477	2	7	4	2	1	36	1	2	42	2	3	5	4	2	10248	2094	3	2	14	3	4	80	1	24	4	3	22	6	5	17
Ind30	No	46	1	705	1	2	4	3	1	38	2	2	83	3	5	6	1	1	18947	22822	3	2	12	3	4	80	0	22	2	2	2	2	2	1
Ind31	No	33	1	924	2	2	3	2	1	39	3	1	78	3	1	3	4	1	2496	6670	4	2	11	3	4	80	0	7	3	3	1	1	0	0
Ind32	No	44	1	1459	2	10	4	6	1	40	4	1	41	3	2	5	4	2	6465	19121	2	1	13	3	4	80	0	9	5	4	4	2	1	3
Ind33	No	30	1	125	2	9	2	2	1	41	4	1	83	2	1	3	3	1	2206	16117	1	2	13	3	1	80	0	10	5	3	10	0	1	8
Ind34	Yes	39	1	895	1	5	3	4	1	42	4	1	56	3	2	7	4	2	2086	3335	3	2	14	3	3	80	1	19	6	4	1	0	0	0
Ind35	Yes	24	1	813	2	1	3	2	1	45	2	1	61	3	1	2	4	2	2293	3020	2	1	16	3	1	80	1	6	2	2	2	0	2	0
Ind36	No	43	1	1273	2	2	2	2	1	46	4	2	72	4	1	2	3	3	2645	21923	1	2	12	3	4	80	2	6	3	2	5	3	1	4
Ind37	Yes	50	1	869	1	3	2	3	1	47	1	1	86	2	1	7	3	2	2683	3810	1	1	14	3	3	80	0	3	2	3	3	2	0	2
Ind38	No	35	1	890	1	2	3	3	1	49	4	2	97	3	1	7	4	2	2014	9687	1	2	13	3	1	80	0	2	3	3	2	2	2	2
Ind39	No	36	1	852	2	5	4	1	1	51	2	2	82	2	1	2	1	2	3419	13072	9	1	14	3	4	80	1	6	3	4	1	1	0	0
Ind40	No	33	2	1141	1	1	3	1	1	52	3	2	42	4	2	1	1	2	5376	3193	2	2	19	3	1	80	2	10	3	3	5	3	1	3
Ind41	No	35	1	464	2	4	2	6	1	53	3	1	75	3	1	3	4	3	1951	10910	1	2	12	3	3	80	1	1	3	3	1	0	0	0
Ind42	No	27	1	1240	2	2	4	1	1	54	4	2	33	3	1	3	1	3	2341	19715	1	2	13	3	4	80	1	1	6	3	1	0	0	0
Ind43	Yes	26	1	1357	2	25	3	1	1	55	1	1	48	1	1	3	3	1	2293	10558	1	2	12	3	3	80	0	1	2	2	1	0	0	1
Ind44	No	27	2	994	1	8	3	1	1	56	4	1	37	3	3	1	3	1	8726	2975	1	2	15	3	4	80	0	9	0	3	9	8	1	7
Ind45	No	30	2	721	2	1	2	2	1	57	3	2	58	3	2	3	4	1	4011	10781	1	2	23	4	4	80	0	12	2	3	12	8	3	7
Ind46	Yes	41	1	1360	2	12	3	4	1	58	2	2	49	3	5	8	3	2	19545	16280	1	2	12	3	4	80	0	23	0	3	22	15	15	8
Ind47	No	34	3	1065	1	23	4	3	1	60	2	1	72	3	2	1	3	1	4568	10034	0	2	20	4	3	80	0	10	2	3	9	5	8	7
Ind48	No	37	1	408	2	19	2	1	1	61	2	1	73	3	1	2	2	2	3022	10227	4	2	21	4	1	80	0	8	1	3	1	0	0	0
Ind49	No	46	2	1211	1	5	4	3	1	62	1	1	98	3	2	1	4	1	5772	20445	4	1	21	4	3	80	0	14	4	3	9	6	0	8
Ind50	No	35	1	1229	2	8	1	1	1	63	4	1	36	4	1	3	4	2	2269	4892	1	2	19	3	4	80	0	1	2	3	1	0	0	1
Ind51	Yes	48	1	626	2	1	2	1	1	64	1	1	98	2	3	3	3	1	5381	19294	9	1	13	3	4	80	0	23	2	3	1	0	0	0
Ind52	Yes	28	1	1434	2	5	4	4	1	65	3	1	50	3	1	3	3	1	3441	11179	1	1	13	3	3	80	0	2	3	2	2	2	2	2
Ind53	No	44	1	1488	1	1	5	3	1	68	2	2	75	3	2	1	1	3	5454	4009	5	1	21	4	3	80	1	9	2	2	4	3	1	3
Ind54	No	35	3	1097	2	11	2	2	1	70	3	1	79	2	3	5	1	2	9884	8302	2	1	13	3	3	80	1	10	3	3	4	0	2	3
Ind55	No	26	1	1443	1	23	3	3	1	72	3	2	47	2	2	1	4	2	4157	21436	7	1	19	3	3	80	1	5	2	2	2	2	0	0
Ind56	No	33	2	515	2	1	2	1	1	73	1	2	98	3	3	8	4	1	13458	15146	1	1	12	3	3	80	0	15	1	3	15	14	8	12
Ind57	No	35	2	853	1	18	5	1	1	74	2	1	71	3	3	1	1	2	9069	11031	1	2	22	4	4	80	1	9	3	2	9	8	1	8
Ind58	No	35	1	1142	2	23	4	2	1	75	3	2	30	3	1	3	1	2	4014	16002	3	1	15	3	3	80	1	4	3	3	2	2	2	2
Ind59	No	31	1	655	2	7	4	1	1	76	4	1	48	3	2	3	4	3	5915	9528	3	2	22	4	4	80	1	10	3	2	7	7	1	7
Ind60	No	37	1	1115	2	1	4	1	1	77	1	1	51	2	2	4	3	3	5993	2689	1	2	18	3	3	80	1	7	2	4	7	5	0	7
Ind61	No	32	1	427	2	1	3	2	1	78	1	1	33	3	2	4	4	2	6162	10877	1	1	22	4	2	80	1	9	3	3	9	8	7	8
Ind62	No	38	2	653	2	29	5	1	1	79	4	2	50	3	2	3	4	1	2406	5456	1	2	11	3	4	80	0	10	2	3	10	3	9	9
Ind63	No	50	1	989	2	7	2	2	1	80	2	2	43	2	5	8	3	3	18740	16701	5	1	12	3	4	80	1	29	2	2	27	3	13	8
Ind64	No	59	1	1435	1	25	3	1	1	81	1	2	99	3	3	1	1	1	7637	2354	7	2	11	3	4	80	0	28	3	2	21	16	7	9
Ind65	No	36	1	1223	2	8	3	4	1	83	3	2	59	3	3	5	3	3	10096	8202	1	2	13	3	2	80	3	17	2	3	17	14	12	8
Ind66	No	55	1	836	2	8	3	2	1	84	4	2	33	3	4	6	3	3	14756	19730	2	1	14	3	3	80	3	21	2	3	5	0	0	2
Ind67	No	36	2	1195	2	11	3	1	1	85	2	1	95	2	2	4	2	1	6499	22656	1	2	13	3	3	80	0	6	3	3	6	5	0	3
Ind68	No	45	1	1339	2	7	3	1	1	86	2	1	59	3	3	2	1	3	9724	18787	2	2	17	3	3	80	1	25	2	3	1	0	0	0
Ind69	No	35	2	664	2	1	3	2	1	88	2	1	79	3	1	2	1	2	2194	5868	4	2	13	3	4	80	1	5	2	2	3	2	1	2
Ind70	Yes	36	1	318	2	9	3	2	1	90	4	1	79	2	1	2	3	2	3388	21777	0	1	17	3	1	80	1	2	0	2	1	0	0	0
Ind71	No	59	2	1225	1	1	1	1	1	91	1	2	57	2	2	1	3	1	5473	24668	7	2	11	3	4	80	0	20	2	2	4	3	1	3
Ind72	No	29	1	1328	2	2	3	1	1	94	3	1	76	3	1	2	2	2	2703	4956	0	2	23	4	4	80	1	6	3	3	5	4	0	4
Ind73	No	31	1	1082	2	1	4	2	1	95	3	1	87	3	1	2	2	1	2501	18775	1	2	17	3	2	80	0	1	4	3	1	1	1	0
Ind74	No	32	1	548	2	1	3	1	1	96	2	1	66	3	2	2	2	2	6220	7346	1	2	17	3	2	80	2	10	3	3	10	4	0	9
Ind75	No	36	1	132	2	6	3	1	1	97	2	2	55	4	1	3	4	2	3038	22002	3	2	12	3	2	80	0	5	3	3	1	0	0	0
Ind76	No	31	1	746	2	8	4	1	1	98	3	2	61	3	2	4	4	1	4424	20682	1	2	23	4	4	80	0	11	2	3	11	7	1	8
Ind77	No	35	1	776	1	1	4	3	1	100	3	1	32	2	2	1	1	1	4312	23016	0	2	14	3	2	80	0	16	2	3	15	13	2	8
Ind78	No	45	1	193	2	6	4	6	1	101	4	1	52	3	3	8	1	2	13245	15067	4	1	14	3	2	80	0	17	3	4	0	0	0	0
Ind79	No	37	1	397	2	7	4	2	1	102	1	1	30	3	3	8	3	1	13664	25258	4	2	13	3	1	80	0	16	3	4	5	2	0	2
Ind80	No	46	1	945	3	5	2	2	1	103	2	1	80	3	2	9	2	3	5021	10425	8	1	22	4	4	80	1	16	2	3	4	2	0	2
Ind81	No	30	1	852	2	1	1	1	1	104	4	1	55	2	2	3	4	2	5126	15998	1	1	12	3	3	80	2	10	1	2	10	8	3	0
Ind82	No	35	1	1214	2	1	3	2	1	105	2	1	30	2	1	2	3	1	2859	26278	1	2	18	3	1	80	0	6	3	3	6	4	0	4
Ind83	No	55	1	111	1	1	2	1	1	106	1	1	70	3	3	1	4	2	10239	18092	3	2	14	3	4	80	1	24	4	3	1	0	1	0
Ind84	No	38	3	573	2	6	3	2	1	107	2	2	79	1	2	2	4	3	5329	15717	7	1	12	3	4	80	3	17	3	3	13	11	1	9
Ind85	No	34	1	1153	2	1	2	2	1	110	1	1	94	3	2	4	2	2	4325	17736	1	2	15	3	3	80	0	5	2	3	5	2	1	3
Ind86	No	56	1	1400	2	7	3	1	1	112	4	1	49	1	3	4	4	1	7260	21698	4	2	11	3	1	80	0	37	3	2	6	4	0	2
Ind87	No	23	1	541	1	2	1	4	1	113	3	1	62	3	1	7	1	3	2322	9518	3	2	13	3	3	80	1	3	3	3	0	0	0	0
Ind88	No	51	1	432	2	9	4	1	1	116	4	1	96	3	1	3	4	2	2075	18725	3	2	23	4	2	80	2	10	4	3	4	2	0	3
Ind89	No	30	1	288	2	2	3	1	1	117	3	1	99	2	2	5	4	2	4152	15830	1	2	19	3	1	80	3	11	3	3	11	10	10	8
Ind90	Yes	46	1	669	1	9	2	2	1	118	3	1	64	2	3	1	4	1	9619	13596	1	2	16	3	4	80	0	9	3	3	9	8	4	7
Ind91	No	40	2	530	2	1	4	1	1	119	3	1	78	2	4	5	2	2	13503	14115	1	2	22	4	4	80	1	22	3	2	22	3	11	11
Ind92	No	51	1	632	1	21	4	3	1	120	3	1	71	3	2	1	4	1	5441	8423	0	1	22	4	4	80	0	11	2	1	10	7	1	0
Ind93	No	30	1	1334	1	4	2	2	1	121	3	2	63	2	2	1	2	3	5209	19760	1	1	12	3	2	80	3	11	4	2	11	8	2	7
Ind94	No	46	2	638	2	1	3	2	1	124	3	1	40	2	3	5	1	2	10673	3142	2	1	13	3	3	80	1	21	5	2	10	9	9	5
Ind95	No	32	1	1093	1	6	4	2	1	125	2	1	87	3	2	1	3	1	5010	24301	1	2	16	3	1	80	0	12	0	3	11	8	5	7
Ind96	No	54	1	1217	2	2	4	4	1	126	1	2	60	3	3	8	3	2	13549	24001	9	2	12	3	1	80	1	16	5	1	4	3	0	3
Ind97	No	24	1	1353	1	3	2	6	1	128	1	2	33	3	2	1	3	2	4999	17519	0	2	21	4	1	80	1	4	2	2	3	2	0	2
Ind98	No	28	3	120	1	4	3	2	1	129	2	1	43	3	2	1	3	2	4221	8863	1	2	15	3	2	80	0	5	3	4	5	4	0	4
Ind99	No	58	1	682	1	10	4	2	1	131	4	1	37	3	4	1	3	1	13872	24409	0	2	13	3	3	80	0	38	1	2	37	10	1	8
Ind100	No	44	3	489	2	23	3	2	1	132	2	1	67	3	2	3	2	2	2042	25043	4	2	12	3	3	80	1	17	3	4	3	2	1	2
Ind101	Yes	37	1	807	3	6	4	5	1	133	3	1	63	3	1	9	1	3	2073	23648	4	1	22	4	4	80	0	7	3	3	3	2	0	2
Ind102	No	32	1	827	2	1	1	1	1	134	4	1	71	3	1	2	1	1	2956	15178	1	2	13	3	4	80	0	1	2	3	1	0	0	0
Ind103	Yes	20	2	871	2	6	3	1	1	137	4	2	66	2	1	3	4	1	2926	19783	1	1	18	3	2	80	0	1	5	3	1	0	1	0
Ind104	No	34	1	665	2	6	4	6	1	138	1	2	41	3	2	2	3	1	4809	12482	1	2	14	3	3	80	0	16	3	3	16	13	2	10
Ind105	No	37	3	1040	2	2	2	1	1	139	3	1	100	2	2	5	4	3	5163	15850	5	2	14	3	4	80	1	17	2	4	1	0	0	0
Ind106	No	59	3	1420	3	2	4	5	1	140	3	2	32	2	5	6	4	2	18844	21922	9	2	21	4	4	80	1	30	3	3	3	2	2	2
Ind107	No	50	2	1115	2	1	3	1	1	141	1	2	73	3	5	8	2	2	18172	9755	3	1	19	3	1	80	0	28	1	2	8	3	0	7
Ind108	Yes	25	1	240	1	5	3	3	1	142	3	1	46	2	2	1	3	1	5744	26959	1	1	11	3	4	80	0	6	1	3	6	4	0	3
Ind109	No	25	1	1280	2	7	1	2	1	143	4	1	64	2	1	2	4	2	2889	26897	1	2	11	3	3	80	2	2	2	3	2	2	2	1
Ind110	No	22	1	534	2	15	3	2	1	144	2	2	59	3	1	3	4	1	2871	23785	1	2	15	3	3	80	0	1	5	3	0	0	0	0
Ind111	No	51	2	1456	2	1	4	2	1	145	1	2	30	2	3	5	1	1	7484	25796	3	2	20	4	3	80	0	23	1	2	13	12	12	8
Ind112	Yes	34	2	658	2	7	3	1	1	147	1	1	66	1	2	3	3	1	6074	22887	1	1	24	4	4	80	0	9	3	3	9	7	0	6
Ind113	No	54	3	142	3	26	3	5	1	148	4	2	30	4	4	6	4	1	17328	13871	2	1	12	3	3	80	0	23	3	3	5	3	4	4
Ind114	No	24	1	1127	2	18	1	1	1	150	2	1	52	3	1	3	3	2	2774	13257	0	2	12	3	3	80	1	6	2	3	5	3	1	2
Ind115	No	34	1	1031	2	6	4	1	1	151	3	2	45	2	2	2	2	3	4505	15000	6	2	15	3	3	80	1	12	3	3	1	0	0	0
Ind116	No	37	1	1189	1	3	3	1	1	152	3	1	87	3	3	1	4	1	7428	14506	2	2	12	3	1	80	0	12	3	3	5	3	1	3
Ind117	No	34	1	1354	2	5	3	2	1	153	3	2	45	2	3	6	1	1	11631	5615	2	2	12	3	4	80	0	14	6	3	11	10	5	8
Ind118	No	36	2	1467	1	11	2	4	1	154	2	2	92	3	3	1	4	2	9738	22952	0	2	14	3	3	80	1	10	6	3	9	7	2	8
Ind119	No	36	1	922	2	3	2	1	1	155	1	2	39	3	1	3	4	3	2835	2561	5	2	22	4	1	80	1	7	2	3	1	0	0	0
Ind120	No	43	2	394	1	26	2	1	1	158	3	1	92	3	4	6	4	2	16959	19494	1	1	12	3	4	80	2	25	3	4	25	12	4	12
Ind121	No	30	2	1312	2	23	3	1	1	159	1	1	96	1	1	2	3	3	2613	22310	1	2	25	4	3	80	3	10	2	2	10	7	0	9
Ind122	No	33	3	750	1	22	2	3	1	160	3	1	95	3	2	1	2	2	6146	15480	0	2	13	3	1	80	1	8	2	4	7	7	0	7
Ind123	Yes	56	1	441	2	14	4	1	1	161	2	2	72	3	1	2	2	2	4963	4510	9	1	18	3	1	80	3	7	2	3	5	4	4	3
Ind124	No	51	1	684	2	6	3	1	1	162	1	1	51	3	5	8	3	1	19537	6462	7	2	13	3	3	80	0	23	5	3	20	18	15	15
Ind125	Yes	31	1	249	1	6	4	1	1	163	2	1	76	1	2	1	3	2	6172	20739	4	1	18	3	2	80	0	12	3	2	7	7	7	7
Ind126	No	26	1	841	2	6	3	6	1	164	3	2	46	2	1	2	2	2	2368	23300	1	2	19	3	3	80	0	5	3	2	5	4	4	3
Ind127	Yes	58	1	147	2	23	4	2	1	165	4	2	94	3	3	5	4	2	10312	3465	1	2	12	3	4	80	1	40	3	2	40	10	15	6
Ind128	Yes	19	1	528	1	22	1	3	1	167	4	1	50	3	1	7	3	1	1675	26820	1	1	19	3	4	80	0	0	2	2	0	0	0	0
Ind129	No	22	1	594	2	2	1	4	1	169	3	1	100	3	1	3	4	2	2523	19299	0	2	14	3	3	80	1	3	2	3	2	1	2	1
Ind130	No	49	1	470	2	20	4	2	1	170	3	2	96	3	2	4	1	2	6567	5549	1	2	14	3	3	80	0	16	2	2	15	11	5	11
Ind131	No	43	2	957	2	28	3	2	1	171	2	2	72	4	1	2	3	1	4739	16090	4	2	12	3	4	80	0	18	2	3	3	2	1	2
Ind132	No	50	2	809	1	12	3	3	1	174	3	2	77	3	3	1	4	1	9208	6645	4	2	11	3	4	80	0	16	3	3	2	2	2	1
Ind133	Yes	31	1	542	1	20	3	1	1	175	2	2	71	1	2	1	3	2	4559	24788	3	1	11	3	3	80	1	4	2	3	2	2	2	2
Ind134	No	41	1	802	1	9	1	1	1	176	3	1	96	3	3	1	3	3	8189	21196	3	1	13	3	3	80	1	12	2	3	9	7	0	7
Ind135	No	26	1	1355	3	25	1	1	1	177	3	2	61	3	1	9	3	2	2942	8916	1	2	23	4	4	80	1	8	3	3	8	7	5	7
Ind136	No	36	1	216	2	6	2	2	1	178	2	1	84	3	2	4	2	3	4941	2819	6	2	20	4	4	80	2	7	0	3	3	2	0	1
Ind137	Yes	51	2	1150	2	8	4	1	1	179	1	1	53	1	3	4	4	1	10650	25150	2	2	15	3	4	80	0	18	2	3	4	2	0	3
Ind138	No	39	1	1329	1	4	4	1	1	182	4	2	47	2	2	1	3	2	5902	14590	4	2	14	3	3	80	1	17	1	4	15	11	5	9
Ind139	No	25	1	959	1	28	3	1	1	183	1	1	41	2	2	1	3	2	8639	24835	2	2	18	3	4	80	0	6	3	3	2	2	2	2
Ind140	No	30	1	1240	3	9	3	5	1	184	3	1	48	3	2	9	4	2	6347	13982	0	1	19	3	4	80	0	12	2	1	11	9	4	7
Ind141	Yes	32	1	1033	2	9	3	2	1	190	1	2	41	3	1	3	1	1	4200	10224	7	2	22	4	1	80	0	10	2	4	5	4	0	4
Ind142	No	45	1	1316	2	29	3	2	1	192	3	1	83	3	1	2	4	1	3452	9752	5	2	13	3	2	80	0	9	2	2	6	5	0	3
Ind143	No	38	1	364	2	3	5	4	1	193	4	2	32	3	2	2	3	1	4317	2302	3	1	20	4	2	80	0	19	2	3	3	2	2	2
Ind144	No	30	1	438	2	18	3	1	1	194	1	2	75	3	1	2	3	1	2632	23910	1	2	14	3	3	80	0	5	4	2	5	4	0	4
Ind145	No	32	2	689	1	9	2	2	1	195	4	1	35	1	2	1	4	3	4668	22812	0	2	17	3	4	80	3	9	2	4	8	7	0	7
Ind146	No	30	1	201	2	5	3	4	1	197	4	2	84	3	1	2	1	3	3204	10415	5	2	14	3	4	80	1	8	3	3	3	2	2	2
Ind147	No	30	1	1427	2	2	1	2	1	198	2	1	35	2	1	3	4	1	2720	11162	0	2	13	3	4	80	0	6	3	3	5	3	1	2
Ind148	No	41	2	857	2	10	3	1	1	199	4	1	91	2	4	6	1	3	17181	12888	4	2	13	3	2	80	1	21	2	2	7	6	7	7
Ind149	No	41	1	933	2	9	4	1	1	200	3	1	94	3	1	3	1	2	2238	6961	2	2	21	4	4	80	1	7	2	3	5	0	1	4
Ind150	No	19	1	1181	2	3	1	2	1	201	2	2	79	3	1	3	2	1	1483	16102	1	2	14	3	4	80	0	1	3	3	1	0	0	0
Ind151	No	40	2	1395	2	26	3	2	1	202	2	2	54	3	2	2	2	3	5605	8504	1	2	11	3	1	80	1	20	2	3	20	7	2	13
Ind152	No	35	1	662	1	1	5	3	1	204	3	1	94	3	3	1	2	2	7295	11439	1	2	13	3	1	80	2	10	3	3	10	8	0	6
Ind153	No	53	1	1436	1	6	2	3	1	205	2	1	34	3	2	7	3	2	2306	16047	2	1	20	4	4	80	1	13	3	1	7	7	4	5
Ind154	No	45	1	194	2	9	3	1	1	206	2	1	60	3	2	3	2	3	2348	10901	8	2	18	3	3	80	1	20	2	1	17	9	0	15
Ind155	No	32	2	967	1	8	3	3	1	207	2	2	43	3	3	1	4	1	8998	15589	1	2	14	3	4	80	0	9	2	3	9	8	3	7
Ind156	No	29	3	1496	2	1	1	4	1	208	4	1	41	3	2	4	3	2	4319	26283	1	2	13	3	1	80	1	10	1	3	10	7	0	9
Ind157	No	51	1	1169	2	7	4	2	1	211	2	1	34	2	2	4	3	2	6132	13983	2	2	17	3	3	80	0	10	2	3	1	0	0	0
Ind158	No	58	1	1145	2	9	3	2	1	214	2	2	75	2	1	2	2	2	3346	11873	4	1	20	4	2	80	1	9	3	2	1	0	0	0
Ind159	No	40	1	630	1	4	4	3	1	215	3	1	67	2	3	1	4	2	10855	8552	7	2	11	3	1	80	1	15	2	2	12	11	2	11
Ind160	No	34	2	303	1	2	4	3	1	216	3	2	75	3	1	7	3	2	2231	11314	6	2	18	3	4	80	1	6	3	3	4	3	1	2
Ind161	No	22	1	1256	2	19	1	2	1	217	3	1	80	3	1	2	4	2	2323	11992	1	2	24	4	1	80	2	2	6	3	2	2	2	2
Ind162	No	27	3	691	2	9	3	2	1	218	4	1	57	3	1	2	2	3	2024	5970	6	2	18	3	4	80	1	6	1	1	2	2	2	2
Ind163	No	28	1	440	2	21	3	2	1	221	3	1	42	3	1	2	4	2	2713	6672	1	2	11	3	3	80	1	5	2	1	5	2	0	2
Ind164	No	57	1	334	2	24	2	1	1	223	3	1	83	4	3	5	4	3	9439	23402	3	1	16	3	2	80	1	12	2	1	5	3	1	4
Ind165	No	27	3	1450	2	3	3	2	1	224	3	1	79	2	1	2	3	3	2566	25326	1	1	15	3	4	80	1	1	2	2	1	1	0	1
Ind166	No	50	1	1452	2	11	3	1	1	226	3	2	53	3	5	6	2	1	19926	17053	3	2	15	3	2	80	0	21	5	3	5	4	4	4
Ind167	No	41	1	465	2	14	3	1	1	227	1	1	56	3	1	2	3	3	2451	4609	4	2	12	3	1	80	1	13	2	3	9	8	1	8
Ind168	No	30	1	1339	1	5	3	1	1	228	2	2	41	3	3	1	4	2	9419	8053	2	2	12	3	3	80	1	12	2	3	10	9	7	4
Ind169	No	38	1	702	1	1	4	1	1	230	1	2	59	2	2	1	4	1	8686	12930	4	2	22	4	3	80	0	12	2	4	8	3	0	7
Ind170	No	32	1	120	2	6	5	1	1	231	3	1	43	3	1	2	3	1	3038	12430	3	2	20	4	1	80	0	8	2	3	5	4	1	4
Ind171	No	27	1	1157	2	17	3	4	1	233	3	1	51	3	1	2	2	2	3058	13364	0	1	16	3	4	80	1	6	3	2	5	2	1	1
Ind172	Yes	19	2	602	1	1	1	4	1	235	3	2	100	1	1	7	1	1	2325	20989	0	2	21	4	1	80	0	1	5	4	0	0	0	0
Ind173	No	36	2	1480	2	3	2	2	1	238	4	1	30	3	1	3	2	1	2088	15062	4	2	12	3	3	80	0	13	3	2	8	7	7	2
Ind174	No	30	3	111	2	9	3	2	1	239	3	1	66	3	2	3	1	3	3072	11012	1	2	11	3	3	80	2	12	4	3	12	9	6	10
Ind175	No	45	1	1268	1	4	2	1	1	240	3	2	30	3	2	1	1	3	5006	6319	4	1	11	3	1	80	1	9	3	4	5	4	0	3
Ind176	No	56	1	713	2	8	3	1	1	241	3	2	67	3	1	2	1	3	4257	13939	4	1	18	3	3	80	1	19	3	3	2	2	2	2
Ind177	No	33	1	134	2	2	3	1	1	242	3	1	90	3	1	2	4	1	2500	10515	0	2	14	3	1	80	0	4	2	4	3	1	0	2
